keys,en,tl
DASH_MATERIALS,Credits,Credits
DASH_STORE,Store,Store
DASH_INTEL,Intel,Intel
DASH_PROGRESS,Progress,Progress
DASH_DEPLOY,DEPLOY,DEPLOY
DASH_DEFEND,DEFEND,DEFEND
DASH_MINI_LABEL,Current Mission,Kasalukuyang Misyon
DASH_MODULE_NUM,MODULE %d,MODULE %d
DASH_MINI_PROGRESS,Stage %d/5 • %d/%d Lessons,Yugto %d/5 • %d/%d Aralin
DASH_AT_RISK_TITLE,PERFORMANCE ALERT — AT-RISK STATUS,BABALA SA PERFORMANCE — AT-RISK
DASH_AT_RISK_BODY,Your avg. BKT P(L) is %.1f%%.%s A peer mentor has been dispatched to help.,Ang avg. BKT P(L) mo ay %.1f%%.%s May peer mentor na ipinadala para tumulong.
DASH_AT_RISK_WEAK, Weakest: %s., Pinakamahina: %s.
DASH_MODE_TITLE,SELECT GAME MODE,PUMILI NG GAME MODE
DASH_MODE_SUBTITLE,Choose how you want to deploy,Piliin kung paano mag-deploy
DASH_MODE_CONFIRM,CONFIRM,KUMPIRMAHIN
DASH_MODE_CANCEL,✕  CANCEL,✕  KANSELAHIN
DASHBOARD_PLACEHOLDER,Full dashboard coming soon.,Malapit na ang buong dashboard.
LOGOUT,Log Out,Mag-log Out
INTRO_STORY_1,The city is breached.,Nabutas na ang lungsod.
INTRO_STORY_2,Threats move in shadows.,Gumagapang ang mga banta.
INTRO_STORY_3,You are the last defense.,Ikaw ang huling depensa.
INTRO_TAGLINE,DEFEND • DETECT • DISRUPT,DEPENDA • DETECT • DISRUPT
INTRO_START_GAME,START GAME,MAGSIMULA
INTRO_PRESS_HINT,PRESS TO INITIALIZE,PINDUTIN PARA MAG-INITIALIZE
MODULE_INTRO_START,START MODULE,SIMULAN ANG MODULE
MODULE_INTRO_SKIP,SKIP,LAKTAWAN
MODULE_INTRO_LINE_1,A fake email just landed.,May pekeng email na dumating.
MODULE_INTRO_LINE_2,One click opens the gate.,Isang click, bukas na ang gate.
MODULE_INTRO_LINE_3,The city network is exposed.,Nakalantad na ang network.
TUTORIAL_NPC_NAME,HANDLER,HANDLER
TUTORIAL_NEXT,NEXT,SUNOD
TUTORIAL_CHOICE_DEPLOY,DEPLOY,DEPLOY
TUTORIAL_DASH_LINE,I'll walk you through a live match. Pick DEPLOY when you're ready.,Tutulungan kitang maunawaan ang laban. Piliin ang DEPLOY kung handa ka na.
TUTORIAL_INTRO_1,This floor is training. It is not Stage 1. Nothing here locks your real stages.,Pagsasanay ito. Hindi ito ang Stage 1. Walang naka-lock dito.
TUTORIAL_INTRO_2,Every real stage has three beats. Quiz. Build. Defend.,Bawat stage ay may tatlong bahagi. Quiz. Build. Defend.
TUTORIAL_PHASE_QUIZ,Quiz first. Correct answers pay gold. Misses spawn more enemies.,Quiz muna. Tama = ginto. Mali = dagdag na kaaway.
TUTORIAL_PHASE_BUILD,Build next. Gold buys towers. You can move a tower for 1G.,Build. Ang ginto ay pambili ng tower. Pwede mo itong ilipat sa halagang 1G.
TUTORIAL_PHASE_DEFEND,Defend last. Enemies walk the path. Hearts are your base. Empty hearts and you fail.,Defend. Dumadaan ang kaaway sa path. Hearts ang base mo. Kapag ubos, talo.
TUTORIAL_PHASE_HOLD,That's the loop. Next we run a live quiz on this floor.,Iyan ang loop. Sunod ay live quiz dito sa floor.
TUTORIAL_CHOICE_QUIZ,START QUIZ,SIMULAN ANG QUIZ
TUTORIAL_Q1_RETRY,That's the trap. Pick the safe call.,Bitag iyon. Piliin ang ligtas.
TUTORIAL_Q2_FORCE_MISS,Miss this one. Extra packets join the wave.,Palampasin ito. Dadagdag ang packet sa wave.
TUTORIAL_QUIZ_DONE,That's quiz. Gold for hits. Extra packets for misses. Next we build.,Iyan ang quiz. Tama = ginto. Mali = dagdag na packet. Build ang susunod.
TUTORIAL_CHOICE_BUILD,START BUILD,SIMULAN ANG BUILD
TUTORIAL_BUILD_GO,Drag NODE onto a pad. Cap 2/2. 2G each. Move costs 1G.,I-drag ang NODE sa pad. Cap 2/2. 2G bawat isa. Lipat = 1G.
TUTORIAL_BUILD_ONE,Capacity rank 1 is live. Place the second node.,Live na ang Capacity rank 1. Ilagay ang pangalawang node.
TUTORIAL_BUILD_DONE,Two up. Tap a tower then a pad to move it for 1G. Defend comes next.,Dalawa na. I-tap ang tower tapos ang pad para ilipat (1G). Defend ang susunod.
TUTORIAL_CHOICE_DEFEND,START DEFEND,SIMULAN ANG DEFEND
TUTORIAL_DEFEND_DONE,That's defend. Empty hearts fail a live stage. Training still moves on.,Iyan ang defend. Ubos na hearts = talo sa totoong stage. Dito, tuloy pa rin.
TUTORIAL_RESULTS,Capacity Rank 1 is yours. Open Upgrades to see the four Basic Node tracks.,Sa iyo na ang Capacity Rank 1. Buksan ang Upgrades para sa apat na track ng Basic Node.
TUTORIAL_CHOICE_UPGRADE,OPEN UPGRADES,BUKSAN ANG UPGRADES
TUTORIAL_UPGRADE_BUY,Tap Capacity Rank 1. Already owned. That's your first Basic Node track.,I-tap ang Capacity Rank 1. Owned na. Unang track iyan ng Basic Node.
TUTORIAL_UPGRADE_DONE,Tracks stay with you. Fail a real stage and it locks until you train.,Mananatili ang tracks. Kapag natalo sa totoong stage, magla-lock hanggang mag-train ka.
TUTORIAL_FAIL_LOCK,This is the lock. Intel opens it. Finish one Module 1 file.,Ito ang lock. Intel ang bumubukas. Tapusin ang isang Module 1 file.
TUTORIAL_CHOICE_LESSON,OPEN LESSON,BUKSAN ANG LESSON
TUTORIAL_LESSON_GO,Real Module 1 file. Finish the drill. That is how a lock clears.,Totoong Module 1 file. Tapusin ang drill. Ganito nabubuksan ang lock.
TUTORIAL_CHOICE_START_FILE,START FILE,SIMULAN ANG FILE
TUTORIAL_LESSON_DONE,Lock cleared. Training is over. The floor is yours.,Bukas na ang lock. Tapos na ang training. Sa iyo na ang floor.
TUTORIAL_CHOICE_DASH,TO DASHBOARD,SA DASHBOARD
TUTORIAL_DASH_DONE,Explore the floor. Deploy when you want a real stage. Have fun.,I-explore ang floor. Deploy kung gusto mo ng totoong stage. Enjoy.
TUTORIAL_CHOICE_EXPLORE,GOT IT,OKAY
SETT_TITLE,SETTINGS,SETTINGS
SETT_BACK,< BACK,< BUMALIK
SETT_SEC_AUDIO,AUDIO,AUDIO
SETT_MASTER_VOL,Master Volume,Pangunahing Boses
SETT_MASTER_VOL_DESC,Adjust overall game volume,I-adjust ang kabuuang boses ng laro
SETT_SFX,Sound Effects,Mga Epekto ng Tunog
SETT_SFX_DESC,Enable game sound effects,I-enable ang mga epekto ng tunog
SETT_SFX_VOL,SFX Volume,Boses ng SFX
SETT_SFX_VOL_DESC,Sound effects volume level,Antas ng boses ng mga epekto ng tunog
SETT_BGM,Background Music,Tugtog sa Likuran
SETT_BGM_DESC,Play ambient music,Patugtugin ang musika sa likuran
SETT_SEC_GAMEPLAY,GAMEPLAY,GAMEPLAY
SETT_VIBRATION,Vibration,Pangangatal (Vibration)
SETT_VIBRATION_DESC,Haptic feedback on actions,Haptic feedback sa mga aksyon
SETT_AUTODEPLOY,Auto-Deploy Towers,Awtomatikong Mag-deploy ng Tower
SETT_AUTODEPLOY_DESC,Automatically place towers,Awtomatikong maglagay ng mga tower
SETT_DMG_NUM,Show Damage Numbers,Ipakita ang Numero ng Pinsala
SETT_DMG_NUM_DESC,Display damage indicators,Ipakita ang mga tagapagpahiwatig ng pinsala
SETT_SEC_NOTIF,NOTIFICATIONS,MGA NOTIPIKASYON
SETT_PUSH_NOTIF,Push Notifications,Mga Notipikasyon
SETT_PUSH_NOTIF_DESC,Receive game alerts,Makatanggap ng mga babala sa laro
SETT_REMINDERS,Mission Reminders,Mga Paalala sa Misyon
SETT_REMINDERS_DESC,Daily mission alerts,Araw-araw na paalala sa misyon
SETT_SEC_DISPLAY,DISPLAY,DISPLAY
SETT_HQ_GRAPHICS,High Quality Graphics,Mataas na Kalidad ng Grapika
SETT_HQ_GRAPHICS_DESC,Enhanced visual effects,Pinagandang visual effect
SETT_SHOW_FPS,Show FPS Counter,Ipakita ang FPS Counter
SETT_SHOW_FPS_DESC,Display frame rate,Ipakita ang frame rate ng laro
SETT_LOGOUT,LOGOUT,LOGOUT
PRETEST_TITLE,PRE-TEST,PRE-TEST
PRETEST_NEXT,NEXT,SUSUNOD
PRETEST_SUBMIT,SUBMIT,IPASA
PRETEST_LOCK_TITLE,PRE-TEST REQUIRED,KAILANGAN ANG PRE-TEST
PRETEST_LOCK_BODY,Complete your baseline assessment before the command centre unlocks.,Tapusin muna ang baseline assessment bago magbukas ang command centre.
PRETEST_BUTTON,PRE-TEST,PRE-TEST
PRETEST_ERR_LOAD,Could not load pre-test questions.,Hindi ma-load ang mga tanong.
PRETEST_ERR_NETWORK,No connection. Check your network and try again.,Walang koneksyon. Subukan ulit.
PRETEST_ERR_SUBMIT,Could not save your pre-test. Try again.,Hindi na-save ang pre-test. Subukan ulit.
PRETEST_ERR_INCOMPLETE,Answer every question before submitting.,Sagutin lahat ng tanong bago mag-submit.
STAGE_MODULE_FALLBACK,Module,Module
STAGE_HINT_PURCHASE,Purchase: LMB,Bumili: LMB
STAGE_HINT_ZOOM,Zoom: Scroll,Zoom: Scroll
STAGE_HINT_MOVE,Move: WASD  RMB,Galaw: WASD  RMB
PROFILE_TITLE,PROFILE.SYS,PROFILE.SYS
PROFILE_IDENTITY,IDENTITY.DAT,IDENTITY.DAT
PROFILE_PROGRESS,PROGRESS.DAT,PROGRESS.DAT
PROFILE_SYSTEMS,SYSTEMS.DAT,SYSTEMS.DAT
PROFILE_MASTERY,MASTERY.DAT,MASTERY.DAT
PROFILE_FULL_NAME,Full name,Buong pangalan
PROFILE_EMAIL,Email,Email
PROFILE_SECTION,Section,Seksyon
PROFILE_STATUS,Status,Status
PROFILE_LEVEL,Tower level,Antas ng tore
PROFILE_EXP,Experience,Karanasan
PROFILE_SESSIONS,Sessions,Sessions
PROFILE_STAGE,Highest stage,Pinakamataas na yugto
PROFILE_PRE,Pre-test,Pre-test
PROFILE_POST,Post-test,Post-test
PROFILE_TOWER,TOWER,TOWER
PROFILE_GLADE,GLADE,GLADE
PROFILE_FORGE,FORGE,FORGE
PROFILE_THREAT,Threat points,Threat points
PROFILE_THREAT_SHORT,Threat Pts,Threat Pts
PROFILE_MATERIALS,Credits,Credits
PROFILE_STAGE_SHORT,Highest Stage,Highest Stage
PROFILE_LV,LV.%d,LV.%d
PROFILE_TOWER_XP,TOWER LV.%d - XP,TOWER LV.%d - XP
PROFILE_LEGEND_LOW,0-49%,0-49%
PROFILE_LEGEND_MID,50-74%,50-74%
PROFILE_LEGEND_HIGH,75%+,75%+
