keys,en,tl
DASH_MINI_PROGRESS,Stage %d/5 • %d/%d Lessons,Yugto %d/5 • %d/%d Aralin
DASH_AT_RISK_TITLE,PERFORMANCE ALERT — AT-RISK STATUS,BABALA SA PERFORMANCE — AT-RISK
DASH_AT_RISK_BODY,Your avg. BKT P(L) is %.1f%%.%s A peer mentor has been dispatched to help.,Ang avg. BKT P(L) mo ay %.1f%%.%s May peer mentor na ipinadala para tumulong.
DASH_AT_RISK_WEAK, Weakest: %s., Pinakamahina: %s.
DASH_MODE_TITLE,SELECT GAME MODE,PUMILI NG GAME MODE
DASH_MODE_SUBTITLE,Choose how you want to deploy,Piliin kung paano mag-deploy
DASH_MODE_CONFIRM,CONFIRM,KUMPIRMAHIN
DASH_MODE_CANCEL,✕  CANCEL,✕  KANSELAHIN
DASHBOARD_PLACEHOLDER,Full dashboard coming soon.,Malapit na ang buong dashboard.
LOGOUT,Log Out,Mag-log Out
INTRO_TAGLINE,DEFEND • DETECT • DISRUPT,DEPENDA • DETECT • DISRUPT
INTRO_START_GAME,START GAME,MAGSIMULA
INTRO_PRESS_HINT,PRESS TO INITIALIZE,PINDUTIN PARA MAG-INITIALIZE
SETT_TITLE,SETTINGS,SETTINGS
SETT_BACK,< BACK,< BUMALIK
SETT_SEC_AUDIO,AUDIO,AUDIO
SETT_MASTER_VOL,Master Volume,Pangunahing Boses
SETT_MASTER_VOL_DESC,Adjust overall game volume,I-adjust ang kabuuang boses ng laro
SETT_SFX,Sound Effects,Mga Epekto ng Tunog
SETT_SFX_DESC,Enable game sound effects,I-enable ang mga epekto ng tunog
SETT_SFX_VOL,SFX Volume,Boses ng SFX
SETT_SFX_VOL_DESC,Sound effects volume level,Antas ng boses ng mga epekto ng tunog
SETT_BGM,Background Music,Tugtog sa Likuran
SETT_BGM_DESC,Play ambient music,Patugtugin ang musika sa likuran
SETT_SEC_GAMEPLAY,GAMEPLAY,GAMEPLAY
SETT_VIBRATION,Vibration,Pangangatal (Vibration)
SETT_VIBRATION_DESC,Haptic feedback on actions,Haptic feedback sa mga aksyon
SETT_AUTODEPLOY,Auto-Deploy Towers,Awtomatikong Mag-deploy ng Tower
SETT_AUTODEPLOY_DESC,Automatically place towers,Awtomatikong maglagay ng mga tower
SETT_DMG_NUM,Show Damage Numbers,Ipakita ang Numero ng Pinsala
SETT_DMG_NUM_DESC,Display damage indicators,Ipakita ang mga tagapagpahiwatig ng pinsala
SETT_SEC_NOTIF,NOTIFICATIONS,MGA NOTIPIKASYON
SETT_PUSH_NOTIF,Push Notifications,Mga Notipikasyon
SETT_PUSH_NOTIF_DESC,Receive game alerts,Makatanggap ng mga babala sa laro
SETT_REMINDERS,Mission Reminders,Mga Paalala sa Misyon
SETT_REMINDERS_DESC,Daily mission alerts,Araw-araw na paalala sa misyon
SETT_SEC_DISPLAY,DISPLAY,DISPLAY
SETT_HQ_GRAPHICS,High Quality Graphics,Mataas na Kalidad ng Grapika
SETT_HQ_GRAPHICS_DESC,Enhanced visual effects,Pinagandang visual effect
SETT_SHOW_FPS,Show FPS Counter,Ipakita ang FPS Counter
SETT_SHOW_FPS_DESC,Display frame rate,Ipakita ang frame rate ng laro
SETT_LOGOUT,LOGOUT,LOGOUT
PRETEST_TITLE,PRE-TEST,PRE-TEST
PRETEST_NEXT,NEXT,SUSUNOD
PRETEST_SUBMIT,SUBMIT,IPASA
PRETEST_LOCK_TITLE,PRE-TEST REQUIRED,KAILANGAN ANG PRE-TEST
PRETEST_LOCK_BODY,Complete your baseline assessment before the command centre unlocks.,Tapusin muna ang baseline assessment bago magbukas ang command centre.
PRETEST_BUTTON,PRE-TEST,PRE-TEST
PRETEST_ERR_LOAD,Could not load pre-test questions.,Hindi ma-load ang mga tanong.
PRETEST_ERR_NETWORK,No connection. Check your network and try again.,Walang koneksyon. Subukan ulit.
PRETEST_ERR_SUBMIT,Could not save your pre-test. Try again.,Hindi na-save ang pre-test. Subukan ulit.
PRETEST_ERR_INCOMPLETE,Answer every question before submitting.,Sagutin lahat ng tanong bago mag-submit.
